handle,total_posts,school_count,flags,schools
"@snaggedbaitshop",2,1,"","University of Central Florida"
"@snickers",2,1,"","Penn State University"
"@solelyfruit",2,1,"","University of Central Florida"
"@sony",2,2,"","Baylor | University of Virginia"
"@sonycine",2,1,"","Auburn University"
"@stoneandspearskincare",2,1,"","University of Nebraska"
"@tacojohns",2,1,"","University of Nebraska"
"@tamubookstore",2,1,"","Texas A&M"
"@terpsfootball",2,1,"likely_team_page","University of Maryland"
"@thegoodfeetstore",2,1,"","University of Virginia"
"@thekcdiamonds",2,2,"","Auburn University | University of Nebraska"
"@thelineupleague",2,1,"","Michigan State"
"@thenilrealestate",2,1,"likely_agency_or_collective","Old Dominion University"
"@theofficialdept",2,1,"","Baylor"
"@therandagolf",2,2,"","Texas A&M | University of Texas at San Antonio (UTSA)"
"@threatlocker",2,1,"","University of Central Florida"
"@titosvodka",2,2,"","Penn State University | University of Central Florida"
"@trihealth",2,1,"","Penn State University"
"@turtlebox",2,2,"","Louisiana State University | Texas A&M"
"@undeniablydairy",2,1,"","Baylor"
"@usafspecwarrecruiting",2,2,"likely_media_or_publisher","Penn State University | University of Virginia"
"@usglove",2,1,"","Michigan State"
"@usnikefootball",2,2,"","Auburn University | Baylor"
"@uwalkknox",2,1,"","Baylor"
"@valvoline",2,1,"","Texas A&M"
"@verbenergy",2,2,"","Baylor | Louisiana State University"
"@victoryplustv",2,2,"likely_media_or_publisher","Texas A&M | University of Nebraska"
"@vypehouston",2,2,"","Baylor | Louisiana State University"
"@webelievenet",2,2,"","Baylor | Michigan State"
"@wilson",2,2,"","Penn State University | Texas A&M"
"@woodhousebryancollegestation",2,1,"","Texas A&M"
"@Wuerffel_Trophy",2,1,"","Penn State University"
"@xx_xyathletics",2,1,"","Penn State University"
"@zipscarwash",2,1,"","University of Nebraska"
"beau.bartlett",2,1,"","Penn State University"
"connoressegian",2,1,"","University of Nebraska"
"hapmichigan",2,1,"","Michigan State"
"marylandterrapins",2,1,"","University of Maryland"
"msu_football",2,1,"likely_team_page","Michigan State"
"realgodsstories",2,1,"","Baylor"
"solsauche",2,1,"","Texas A&M"
"statemediapsu",2,1,"likely_media_or_publisher","Penn State University"
"thedraftacademy",2,1,"likely_agency_or_collective","University of Central Florida"
"_lilcell",1,1,"","Michigan State"
"_the_savannah_scott",1,1,"","University of Central Florida"
"@__prozone__",1,1,"","Penn State University"
"@_bckdoor",1,1,"","Michigan State"
"@_houseoflavish",1,1,"","Michigan State"
"@_jtmoney4",1,1,"","University of Virginia"
"@1029espn",1,1,"likely_media_or_publisher","Michigan State"
"@110__brand",1,1,"","University of Texas at San Antonio (UTSA)"
"@12_performance",1,1,"","Texas A&M"
"@12fact",1,1,"","Louisiana State University"
"@168candles",1,1,"","University of Nebraska"
"@1890Nebraska",1,1,"","University of Nebraska"
"@1jm_apparel",1,1,"","Texas A&M"
"@1stform",1,1,"","University of Nebraska"
"@3rdandco_",1,1,"","Michigan State"
"@406mtsports",1,1,"","Michigan State"
"@6whiskey",1,1,"","Texas A&M"
"@7brewcoffee",1,1,"","University of Texas at San Antonio (UTSA)"
"@90degreebyreflex",1,1,"","Penn State University"
"@A1Automotive",1,1,"","University of Nebraska"
"@aabonnbc",1,1,"","Auburn University"
"@ab",1,1,"","University of Nebraska"
"@abtitan",1,1,"","Penn State University"
"@abxspeedschool",1,1,"","Louisiana State University"
"@abydeverka",1,1,"","Penn State University"
"@acbymarriott",1,1,"","Michigan State"
"@accnetwork",1,1,"likely_media_or_publisher","University of Virginia"
"@achotelcharlotte",1,1,"","Michigan State"
"@actiontreksperu",1,1,"","Michigan State"
"@addie.lyon",1,1,"","Penn State University"
"@adidas.turkiye",1,1,"","Penn State University"
"@adidasgolf",1,1,"","Baylor"
"@adidasrunning",1,1,"","Texas A&M"
"@adidastennis",1,1,"","University of Virginia"
"@AFLAC",1,1,"","Penn State University"
"@afnfclothing._",1,1,"","Penn State University"
"@aftershow.apparel",1,1,"","University of Nebraska"
"@agavashowpads",1,1,"","Auburn University"
"@aggiebaseball",1,1,"likely_team_page","Texas A&M"
"@aggievolleyball",1,1,"likely_team_page","Texas A&M"
"@aggiewomensgolf",1,1,"likely_team_page","Texas A&M"
"@aiavitalitynz",1,1,"","George Mason"
"@airformi",1,1,"","Auburn University"
"@aisle.five",1,1,"","University of Virginia"
"@alabamagolf",1,1,"","Texas A&M"
"@alaninutrition",1,1,"","Auburn University"
"@albertofasciani.us",1,1,"","Auburn University"
"@alexservagno",1,1,"","Penn State University"
"@alixmarie.franklin",1,1,"","Louisiana State University"
"@AlkemePerformance",1,1,"","Louisiana State University"
"@alliance_rv",1,1,"","Auburn University"
"@allie.2021_",1,1,"","University of Nebraska"
"@allthingsgympod",1,1,"","Michigan State"
"@alo",1,1,"","Auburn University"
"@aloft_utsasanantonio",1,1,"","University of Texas at San Antonio (UTSA)"
"@altafiber",1,1,"","Baylor"
"@altardstate",1,1,"","University of Nebraska"
